FID,GEOID,STATE,COUNTY,TRACT,BLOCKGROUP,STUSAB,all_damage_own,serious_damage_own,serious_damage_own_unmet,all_damage_rent,serious_damage_rent,serious_damage_rent_unmet,SHAPE_Length,SHAPE_Area
142,482012513004,48,201,251300,4,TX,91,89,33,-1,-1,-1,0.0686572077987897,0.000230454795079191
143,482012512003,48,201,251200,3,TX,-1,0,0,0,0,0,0.066460086662009,0.000118858010151284
144,482012512002,48,201,251200,2,TX,-1,0,0,0,0,0,0.0520390145522437,0.000115833716842157
145,482015525002,48,201,552500,2,TX,12,-1,-1,-1,-1,0,0.0684310386749783,0.000242561240935369
146,482015515002,48,201,551500,2,TX,27,-1,-1,0,0,0,0.161093242278505,0.000697338001721827
147,482012207001,48,201,220700,1,TX,25,-1,-1,-1,0,0,0.0363715071621501,6.18166495879587e-05
148,482015420003,48,201,542000,3,TX,71,42,21,13,-1,-1,0.0386922437976802,6.42974270852335e-05
149,482015517013,48,201,551701,3,TX,-1,0,0,0,0,0,0.0333772469983486,3.41786882999929e-05
150,482012405011,48,201,240501,1,TX,-1,0,0,-1,-1,0,0.0712558015524888,0.000275335525909093
151,482015410012,48,201,541001,2,TX,-1,0,-1,-1,-1,0,0.0315379019189059,4.70237313011989e-05
152,482015410011,48,201,541001,1,TX,35,-1,-1,-1,-1,-1,0.106946995206254,0.000454149799018426
153,482012509002,48,201,250900,2,TX,452,431,261,250,243,41,0.0976177443211725,0.000426866367250189
154,482012509004,48,201,250900,4,TX,229,210,77,-1,-1,0,0.138407234047226,0.000867143917511596
155,482015516003,48,201,551600,3,TX,16,-1,-1,0,0,0,0.0485849300225957,0.000129639688129158
156,482012510002,48,201,251000,2,TX,414,413,129,13,12,-1,0.0856343298523904,0.000381789938199934
157,482012509001,48,201,250900,1,TX,-1,0,0,0,0,0,0.0474867467704951,8.56133307174116e-05
158,482014327013,48,201,432701,3,TX,-1,0,0,0,0,0,0.0341784194741108,4.49969831403425e-05
159,482014327022,48,201,432702,2,TX,-1,0,0,-1,-1,0,0.0372416038362382,6.32040041842547e-05
160,482014327021,48,201,432702,1,TX,26,21,-1,-1,-1,-1,0.0269948028914275,4.34040018673773e-05
161,482014326002,48,201,432600,2,TX,-1,-1,-1,0,0,0,0.0549069526785332,0.000112661049814372
162,482014326001,48,201,432600,1,TX,-1,-1,-1,0,0,0,0.0278972463973313,4.03813143136806e-05
163,482014321003,48,201,432100,3,TX,-1,0,0,0,0,0,0.0274863718448587,3.74357420576016e-05
164,482014321002,48,201,432100,2,TX,-1,-1,-1,-1,0,0,0.0423352759017446,5.84777384387971e-05
165,482013315006,48,201,331500,6,TX,96,-1,-1,-1,-1,0,0.148701327660362,0.00062872901711234
166,482013315005,48,201,331500,5,TX,22,0,-1,-1,-1,-1,0.0351686868205512,6.61221872610845e-05
167,482013315004,48,201,331500,4,TX,39,-1,-1,0,0,0,0.0376143115977248,5.35624104129505e-05
168,482013315003,48,201,331500,3,TX,34,0,-1,-1,-1,-1,0.0242993751120439,2.85980465964277e-05
169,482012223002,48,201,222300,2,TX,54,30,19,14,12,-1,0.0528302822323141,0.000157307305832394
170,482012223001,48,201,222300,1,TX,31,-1,-1,-1,0,0,0.0807551516845649,0.000258693134987424
171,482012219003,48,201,221900,3,TX,69,22,15,13,-1,-1,0.0411121920668561,8.94891625869495e-05
172,482012304002,48,201,230400,2,TX,53,-1,-1,11,-1,-1,0.0429111688012274,0.000103416543920432
173,482012303002,48,201,230300,2,TX,18,-1,-1,13,-1,-1,0.0360795710731306,6.43884752163397e-05
174,482014550001,48,201,455000,1,TX,-1,-1,-1,0,0,0,0.0534488301472789,0.000122146438360485
175,482014548003,48,201,454800,3,TX,16,-1,-1,0,0,0,0.0532199096107261,0.000115841323362922
176,482014548002,48,201,454800,2,TX,29,-1,-1,-1,0,0,0.0501237916362482,9.63032065960748e-05
177,482014548001,48,201,454800,1,TX,40,13,-1,-1,-1,0,0.0414086820772939,6.18848766504425e-05
178,482013144001,48,201,314400,1,TX,-1,0,-1,-1,-1,0,0.0268013455357367,3.86722909004739e-05
179,482013111003,48,201,311100,3,TX,26,-1,-1,-1,-1,-1,0.0340710482684738,4.86830706946625e-05
180,482013111002,48,201,311100,2,TX,-1,0,-1,0,0,0,0.0287739633968,4.04615012045584e-05
181,482013316011,48,201,331601,1,TX,68,0,-1,-1,-1,-1,0.0545004754949939,0.00012339016543865
182,482013412023,48,201,341202,3,TX,25,16,-1,-1,-1,0,0.0462043617603667,9.90503504333987e-05
183,482014122004,48,201,412200,4,TX,-1,0,0,0,0,0,0.032645997099872,6.11302417589279e-05
184,482014308001,48,201,430800,1,TX,-1,-1,0,0,0,0,0.0764836938177487,0.000215754590604291
185,482014328013,48,201,432801,3,TX,0,0,0,-1,0,0,0.0180695513639886,1.33272107811287e-05
186,482014328024,48,201,432802,4,TX,0,0,0,-1,-1,0,0.0356117670910676,7.09874203977872e-05
187,482014514021,48,201,451402,1,TX,-1,0,0,-1,-1,0,0.0451992669961786,0.000102542407918998
188,482014514012,48,201,451401,2,TX,-1,0,0,0,0,0,0.0420496217699752,4.83155113105969e-05
189,482014514011,48,201,451401,1,TX,-1,0,-1,0,0,0,0.0290545687021523,5.1841571718131e-05
190,482014543014,48,201,454301,4,TX,17,0,-1,-1,-1,-1,0.0390744740298669,9.1682607693883e-05
191,482013328002,48,201,332800,2,TX,36,20,16,29,21,15,0.0303391375871874,3.32115460747137e-05
192,482014547004,48,201,454700,4,TX,12,0,-1,0,0,0,0.0458472094502536,8.51439429314318e-05
193,482014547003,48,201,454700,3,TX,-1,0,0,0,0,0,0.0355658962679033,7.37589149133864e-05
194,482013124001,48,201,312400,1,TX,-1,0,-1,-1,-1,-1,0.0276440284774756,3.93291004678987e-05
195,482013124002,48,201,312400,2,TX,-1,-1,-1,-1,0,0,0.0228964434683238,2.82428955999961e-05
196,482013123002,48,201,312300,2,TX,20,0,-1,11,-1,-1,0.032331003986357,6.08402518467647e-05
197,482013123001,48,201,312300,1,TX,14,-1,-1,-1,-1,-1,0.0381203686346751,7.08402126533832e-05
198,482013122002,48,201,312200,2,TX,-1,0,-1,-1,-1,-1,0.02215231035841,2.32811717325896e-05
199,482013122001,48,201,312200,1,TX,-1,0,-1,16,-1,-1,0.0366351433879288,4.52069613663177e-05
200,482013120002,48,201,312000,2,TX,31,11,-1,-1,-1,0,0.0465827557981147,7.26560853066785e-05
201,482013120001,48,201,312000,1,TX,-1,-1,-1,11,-1,-1,0.0733688534721937,0.000103267732348443
202,482014133003,48,201,413300,3,TX,13,-1,-1,0,0,0,0.0623973528116122,7.22746520856004e-05
203,482014133002,48,201,413300,2,TX,-1,-1,-1,-1,-1,0,0.0415034625309072,6.66489100153232e-05
204,482014131003,48,201,413100,3,TX,51,42,-1,-1,-1,0,0.031234112444793,3.62740999260015e-05
205,482013201001,48,201,320100,1,TX,-1,0,-1,25,22,-1,0.038711828302049,5.17084649504845e-05
206,482014322002,48,201,432200,2,TX,-1,-1,0,-1,-1,0,0.0324053137642717,4.53146042907239e-05
207,482014322001,48,201,432200,1,TX,-1,-1,-1,0,0,0,0.0333787861364076,5.84851978816282e-05
208,482014321001,48,201,432100,1,TX,-1,0,0,-1,0,0,0.0298110517153441,5.35901246455917e-05
209,482015216002,48,201,521600,2,TX,27,-1,-1,-1,-1,-1,0.05411868957574,0.000149791512269701
210,482015311001,48,201,531100,1,TX,-1,0,-1,0,0,0,0.042046473295576,6.08752524779302e-05
211,482015319003,48,201,531900,3,TX,56,13,-1,-1,-1,-1,0.0789040476843951,0.00023610588184425
212,482013139002,48,201,313900,2,TX,-1,0,0,0,0,0,0.0359554013942171,3.34005512340625e-05
213,482013138004,48,201,313800,4,TX,30,-1,-1,-1,-1,-1,0.0522611707613243,7.22359559173973e-05
214,482013138003,48,201,313800,3,TX,21,-1,-1,-1,-1,-1,0.0463215513584584,5.0172107713939e-05
215,482013138002,48,201,313800,2,TX,22,-1,-1,-1,-1,-1,0.0254104492951465,3.16409796894102e-05
216,482013138001,48,201,313800,1,TX,24,0,-1,-1,-1,-1,0.035100957690933,5.20769424554813e-05
217,482012110002,48,201,211000,2,TX,35,-1,-1,17,12,-1,0.0386852821803387,5.7886121953613e-05
218,482014508011,48,201,450801,1,TX,131,131,37,14,12,0,0.0540528111551068,6.9176257179507e-05
219,482014224013,48,201,422401,3,TX,0,0,0,-1,-1,0,0.0195582278138403,1.97703590002105e-05
220,482014232022,48,201,423202,2,TX,-1,0,0,-1,0,0,0.0361572590795224,7.68710796941853e-05
221,482014315023,48,201,431502,3,TX,-1,0,0,0,0,0,0.0287222838371035,4.99904714999285e-05
222,482014501001,48,201,450100,1,TX,-1,0,-1,45,42,-1,0.0385344351390303,7.59280031959852e-05
223,482015530021,48,201,553002,1,TX,168,159,39,21,19,-1,0.0990374600948102,0.0002620489989314
224,482015511005,48,201,551100,5,TX,-1,0,0,0,0,0,0.0391565847210072,6.16891552628502e-05
225,482015506033,48,201,550603,3,TX,16,0,0,0,0,0,0.0334450112243134,4.9436212667202e-05
