FID,GEOID,STATE,COUNTY,TRACT,BLOCKGROUP,STUSAB,all_damage_own,serious_damage_own,serious_damage_own_unmet,all_damage_rent,serious_damage_rent,serious_damage_rent_unmet,SHAPE_Length,SHAPE_Area
252,482015326001,48,201,532600,1,TX,16,0,-1,-1,-1,-1,0.0341066081570165,5.91635619783256e-05
253,482014508025,48,201,450802,5,TX,-1,-1,-1,-1,-1,0,0.0260851985870834,2.95668030659525e-05
254,482014522011,48,201,452201,1,TX,-1,0,0,-1,-1,0,0.028086015334668,3.91964734980253e-05
255,482014330031,48,201,433003,1,TX,0,0,0,-1,0,0,0.0400635844128152,6.81833746303639e-05
256,482012110001,48,201,211000,1,TX,17,-1,-1,21,14,-1,0.0311294202855653,4.69456625609181e-05
257,482012109002,48,201,210900,2,TX,39,18,14,45,33,22,0.0282403690500916,4.69192489869291e-05
258,482012109001,48,201,210900,1,TX,56,15,-1,23,19,13,0.036036749030344,7.11706771772334e-05
259,482014546001,48,201,454600,1,TX,22,-1,-1,-1,0,0,0.0856356390736561,0.000306798254538204
260,482014507001,48,201,450700,1,TX,73,59,17,-1,-1,0,0.0338224972964537,5.03455470467772e-05
261,482014335023,48,201,433502,3,TX,-1,0,-1,-1,-1,-1,0.0204419739972725,1.82628961894155e-05
262,482014335024,48,201,433502,4,TX,-1,-1,-1,16,-1,-1,0.0155616049976336,1.22300137570853e-05
263,482014532003,48,201,453200,3,TX,-1,0,0,-1,-1,-1,0.0321613957750772,3.56494502346534e-05
264,482014528022,48,201,452802,2,TX,13,-1,-1,0,0,0,0.0313843630842681,6.13432186390538e-05
265,482015223022,48,201,522302,2,TX,-1,-1,-1,0,0,0,0.0364256091078016,8.34641354511147e-05
266,482015325023,48,201,532502,3,TX,101,42,-1,19,15,-1,0.0372340486064187,7.38831647187948e-05
267,482015553011,48,201,555301,1,TX,34,30,13,82,79,11,0.228361745843919,0.000611833649705735
268,482012217004,48,201,221700,4,TX,186,129,90,28,26,16,0.0508834893786144,0.000108733863546306
269,482012224011,48,201,222401,1,TX,80,58,31,36,30,22,0.0763814335688148,0.000263183341428512
270,482012224022,48,201,222402,2,TX,22,-1,-1,-1,0,0,0.0368533280969507,7.71046162147421e-05
271,482012224021,48,201,222402,1,TX,127,39,32,18,13,-1,0.0623775599107722,0.000134849105299588
272,482013409002,48,201,340900,2,TX,-1,-1,-1,228,123,35,0.0862420356243477,0.000321502806325104
273,482013409001,48,201,340900,1,TX,14,-1,-1,18,-1,-1,0.0322738230670897,4.95939261719074e-05
274,482012411022,48,201,241102,2,TX,35,27,14,11,11,-1,0.0425148877339085,8.52983834142271e-05
275,482015415002,48,201,541500,2,TX,20,-1,-1,0,0,0,0.0542233286358813,0.000151692623203093
276,482014335021,48,201,433502,1,TX,-1,0,-1,-1,-1,-1,0.0311860786922249,2.66377305405816e-05
277,482014532002,48,201,453200,2,TX,-1,0,-1,-1,-1,0,0.0206588921118267,1.72700980060482e-05
278,482015216001,48,201,521600,1,TX,-1,-1,-1,-1,0,0,0.107861484284653,0.000473330046559993
279,482015215004,48,201,521500,4,TX,-1,-1,-1,0,0,0,0.0412110726636413,9.4632151269354e-05
280,482015215002,48,201,521500,2,TX,-1,0,-1,-1,-1,-1,0.0340596767410124,4.86810993666013e-05
281,482015215003,48,201,521500,3,TX,-1,0,-1,0,0,0,0.0262865544923627,2.80729151829861e-05
282,482015213004,48,201,521300,4,TX,-1,-1,-1,-1,-1,-1,0.0443611376316657,9.30194014317326e-05
283,482015213003,48,201,521300,3,TX,-1,0,-1,0,0,0,0.0390260399841633,9.07661286742155e-05
284,482015213002,48,201,521300,2,TX,-1,-1,0,-1,-1,0,0.0259830895309191,4.03403074405115e-05
285,482014506001,48,201,450600,1,TX,206,203,63,13,13,-1,0.0397966198375959,5.03803579921311e-05
286,482015407003,48,201,540700,3,TX,333,286,212,42,37,-1,0.0452659977619752,7.37450585573848e-05
287,482015407001,48,201,540700,1,TX,274,241,166,11,11,0,0.0921432891761524,0.000346000073250067
288,482015406011,48,201,540601,1,TX,367,299,149,53,43,-1,0.0525601494808057,0.000111216954303368
289,482015207002,48,201,520700,2,TX,-1,0,0,0,0,0,0.0249866973351477,3.41602901522251e-05
290,482015207001,48,201,520700,1,TX,-1,0,0,0,0,0,0.0245659376351113,3.2851972373189e-05
291,482015206011,48,201,520601,1,TX,-1,0,-1,-1,-1,0,0.0550778014711216,0.000183317214545269
292,482015206023,48,201,520602,3,TX,-1,0,-1,-1,0,0,0.0295637880415422,5.41030156121119e-05
293,482015206022,48,201,520602,2,TX,-1,0,-1,0,0,0,0.0259072932711803,3.86165743888439e-05
294,482014510011,48,201,451001,1,TX,22,0,0,0,0,0,0.0388941298637546,7.48276564734395e-05
295,482014509002,48,201,450900,2,TX,15,0,0,0,0,0,0.0356745990049093,5.64758949559153e-05
296,482014509001,48,201,450900,1,TX,-1,0,0,-1,0,0,0.0395004023519133,9.45344371815711e-05
297,482014508021,48,201,450802,1,TX,111,98,52,-1,-1,-1,0.0277086992616978,3.91056853370296e-05
298,482015342024,48,201,534202,4,TX,-1,0,0,0,0,0,0.0490034933366801,0.00011242170045312
299,482015342022,48,201,534202,2,TX,-1,0,0,0,0,0,0.0464583875993512,0.000100935693393876
300,482015308001,48,201,530800,1,TX,81,18,12,25,18,12,0.0582279435803194,0.000149761689473557
301,482012412001,48,201,241200,1,TX,69,39,38,-1,-1,-1,0.122368789862384,0.000307399392754996
302,482012413003,48,201,241300,3,TX,38,-1,-1,-1,-1,-1,0.117928385120876,0.000713745149639244
303,482012414001,48,201,241400,1,TX,28,14,-1,-1,-1,-1,0.0734374809427004,0.000185342291673408
304,482015544021,48,201,554402,1,TX,102,57,16,-1,-1,0,0.147626764121631,0.00070540631428393
305,482015544012,48,201,554401,2,TX,232,173,72,12,11,-1,0.166085471752559,0.000845888409875404
306,482015544022,48,201,554402,2,TX,11,0,0,0,0,0,0.134726256607467,0.000629779965019932
307,482014545013,48,201,454501,3,TX,118,99,44,177,157,25,0.133912797595861,0.000657542512306366
308,482014545021,48,201,454502,1,TX,132,113,85,15,11,0,0.11824788716487,0.000704770159046243
309,482014545011,48,201,454501,1,TX,-1,0,0,0,0,0,0.0488334689041088,0.000126735791176108
310,482014507003,48,201,450700,3,TX,473,450,126,16,16,-1,0.0845743687416433,0.000186570199994372
311,482014507002,48,201,450700,2,TX,226,212,87,-1,-1,-1,0.0677418752252943,0.000175937313328278
312,482014506002,48,201,450600,2,TX,52,46,17,-1,-1,0,0.0313334618466221,5.08259847583214e-05
313,482014505002,48,201,450500,2,TX,489,483,220,56,51,-1,0.0579493741114218,0.00010925941282105
314,482015421021,48,201,542102,1,TX,71,0,-1,0,0,0,0.0697899600333353,0.000284250713464262
315,482012329003,48,201,232900,3,TX,-1,0,-1,11,-1,-1,0.029185498706994,4.04631830201066e-05
316,482012523013,48,201,252301,3,TX,22,0,-1,-1,-1,-1,0.0344834715721474,6.81139050616135e-05
317,482012524004,48,201,252400,4,TX,51,12,-1,-1,-1,-1,0.0541018463813482,0.000125757784482396
318,482014115023,48,201,411502,3,TX,-1,0,0,0,0,0,0.0422948531504192,4.33580570469176e-05
319,482014115024,48,201,411502,4,TX,0,0,-1,-1,-1,0,0.0274497555435141,3.48376266184888e-05
320,482014118001,48,201,411800,1,TX,-1,0,0,-1,0,0,0.0287498455270873,4.36023434693624e-05
321,482012204003,48,201,220400,3,TX,-1,-1,-1,-1,-1,-1,0.0288682516232889,3.99242063281669e-05
322,482012205002,48,201,220500,2,TX,49,-1,-1,13,-1,-1,0.03193132106827,6.25055654240042e-05
323,482012205003,48,201,220500,3,TX,-1,-1,-1,-1,-1,-1,0.0531943355331625,8.25607367877361e-05
324,482012214001,48,201,221400,1,TX,33,16,16,-1,-1,0,0.0260265061392508,3.72116079869046e-05
325,482012214003,48,201,221400,3,TX,16,-1,-1,-1,-1,-1,0.0336155991018455,6.13372744161724e-05
326,482015504022,48,201,550402,2,TX,0,0,-1,-1,-1,-1,0.0496256936370227,9.96442079222927e-05
327,482012528001,48,201,252800,1,TX,209,78,52,35,25,18,0.255314163845219,0.00200364874882956
328,482012527001,48,201,252700,1,TX,39,14,-1,19,11,-1,0.231394706665493,0.00157840908292527
329,482012532001,48,201,253200,1,TX,64,18,14,-1,-1,-1,0.12011949951589,0.000484340186101833
330,482013420021,48,201,342002,1,TX,55,28,-1,-1,-1,-1,0.0839232740455333,0.000345591869545604
331,482013420011,48,201,342001,1,TX,17,-1,-1,0,0,0,0.0466652861995663,0.000113159155591816
332,482013420013,48,201,342001,3,TX,18,-1,-1,0,0,0,0.0384795078390069,8.36467925302497e-05
333,482013420012,48,201,342001,2,TX,18,-1,-1,0,0,0,0.0752862049357338,0.000285409504755244
334,482014223013,48,201,422301,3,TX,-1,0,0,-1,-1,-1,0.0242840164933315,2.22261177673705e-05
335,482014223014,48,201,422301,4,TX,19,-1,-1,-1,-1,0,0.0210508995637734,2.22280584049512e-05
336,482014234012,48,201,423401,2,TX,15,0,0,0,0,0,0.0254274174081705,3.70644799999979e-05
337,482014211023,48,201,421102,3,TX,0,0,0,-1,-1,-1,0.0239789985028786,2.28094379045964e-05
338,482014215001,48,201,421500,1,TX,-1,-1,-1,-1,0,0,0.0312685053675173,4.90860735714769e-05
339,482014211021,48,201,421102,1,TX,0,0,0,-1,-1,-1,0.0264446007497881,2.5034886748725e-05
340,482014212011,48,201,421201,1,TX,0,0,0,-1,0,0,0.0208674225365773,2.01353107779921e-05
341,482014212012,48,201,421201,2,TX,0,0,0,-1,-1,-1,0.0149975289144654,1.44336103655601e-05
342,482014214011,48,201,421401,1,TX,-1,0,0,0,0,0,0.0156072493751458,1.00401199625043e-05
343,482015526022,48,201,552602,2,TX,287,268,120,31,27,-1,0.072986848551379,0.00018296612797156
344,482015526021,48,201,552602,1,TX,114,110,42,11,-1,0,0.0915236175482937,0.000311375426314977
345,482012544001,48,201,254400,1,TX,32,0,-1,-1,-1,-1,0.0555374853529555,0.000126167213094651
346,482013102001,48,201,310200,1,TX,16,0,-1,-1,-1,0,0.0579298305716986,0.000174473649118227
347,482013122003,48,201,312200,3,TX,12,-1,-1,14,-1,-1,0.0265489150061812,3.23988300988188e-05
348,482015557011,48,201,555701,1,TX,12,-1,-1,-1,-1,-1,0.190664338222876,0.000688590046699386
